freq,accomunit,unit,geo\TIME_PERIOD	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10 
M,BEDPL,PC,AL	19.8 	18 	14.9 	16.5 	17.6 	24.9 	27.6 	39.4 	56.4 	68.9 	54.2 	29.5 
M,BEDPL,PC,AT	23.7 	48.1 	68.54 	77.9 	44.29 	31.9 	32 	50.9 	63 	65.1 	45 	35.4 
M,BEDPL,PC,BE	37.98 	39.8 	28.03 	32.92 	34.41 	41.88 	41.19 u	42.15 	44.77 	45.41 	40.01 	39.63 u
M,BEDPL,PC,BG	28.6 	26.5 	31.1 	34.1 	: 	25.6 	23.3 	43.5 	60.4 	62.9 	35.2 	26.7 
M,BEDPL,PC,CH	35.2 	42.3 	38.6 	44.3 	39.9 	39 	46.5 	51.6 	56.3 	56.8 	48.9 	42.6 
M,BEDPL,PC,CY	47.4 	32.7 	37 	36 	46.3 	64.5 	72.1 	82.5 	93.8 	101.7 	92 	83.3 
M,BEDPL,PC,CZ	33.3 	34.8 	29.2 	35.1 	31.2 	37.9 	42.6 	42.9 	47.5 	51.2 	41.1 	50.6 
M,BEDPL,PC,DE	39.7 	38.41 	29.74 	34.37 	36.86 	41.98 	47.28 	47.53 	50.09 	51.13 	49.85 	47.1 
M,BEDPL,PC,DK	42 	36 	29 	34 	37 	44 	51 	54 	65 	65 	52 	48 
M,BEDPL,PC,EA20	39.14 	39.04 	34.9 	40.45 	39.5 	46.95 	50.52 	58.12 	62.41 	65.15 	52.9 	46.16 
M,BEDPL,PC,EE	38 	43 	29 	36 	31 	37 	41 	48 	61 	56 	40 	42 
M,BEDPL,PC,EL	14.5 	24.8 	12.8 e	15.3 e	18.6 e	32.4 e	51.8 e	71.5 e	80.3 e	84.1 e	69.1 e	39.2 e
M,BEDPL,PC,ES	53.8 	49.37 	48.45 	54.55 	53.48 	60.96 	62.12 	68.14 	74.09 	79.88 	68.38 	62.98 
M,BEDPL,PC,EU27_2020	38.25 	37.52 	33.58 	38.98 	: 	43.98 	47.55 	54.43 	60.26 	62.92 	50.05 	44.89 
M,BEDPL,PC,FI	36.6 	42.2 	34.8 	42.8 	38.1 	33.2 	36.5 	45.3 	56.1 	45.7 	38.6 	38.4 
M,BEDPL,PC,FR	42.3 	43.8 	38.2 	42.2 	42 	50.1 	52.5 	56.7 	59.4 	64.2 	54.2 	49.8 e
M,BEDPL,PC,HR	28.7 	27 	21.9 	29.7 	29.7 	45.3 	53.3 	75.3 	92.6 	98.2 	69.6 	48.1 
M,BEDPL,PC,HU	36.4 	36.5 	29.1 	33.5 	33 	38.8 	39.6 	41.1 	49.9 	55.7 	40 	42.3 
M,BEDPL,PC,IE	53 e	48 e	37 e	43 e	44 e	52 e	65 e	72 e	0 	0 u	0 u	0 u
M,BEDPL,PC,IT	41.7 	42.2 	45.2 	49.1 	47 	47.8 	48.3 	65.1 	73.7 	85.1 	58.8 	53 
M,BEDPL,PC,LI	27 	32.9 	35.5 	39.1 	33.8 	24.2 	30.3 	34.7 	43.5 	50.4 	36.6 	27.6 
M,BEDPL,PC,LT	40.4 	39.5 	40.6 	42 	44 	53.5 e	56.5 e	61.7 e	78.5 e	75.4 e	70.2 e	43.4 e
M,BEDPL,PC,LU	34.48 	36.82 	25.57 	30.52 	33.11 	40.3 	41.56 	43.23 	46.55 	48.19 	39.54 	34.22 
M,BEDPL,PC,LV	34 	36.6 	28 	30.7 	31.5 	37.9 	43.5 	47.6 	59.7 	58.2 	43.6 	39 
M,BEDPL,PC,ME	23.1 	16.5 	17.3 	21.7 	24.4 	37.9 	46.7 	56.5 	78.7 	75 	54.1 	41.7 
M,BEDPL,PC,MK	37.09 	29.6 	17.17 	16.8 	20.68 	31.91 	36.37 	37.11 	45.72 	45.03 	37.25 	33.5 
M,BEDPL,PC,MT	60.1 	45.8 	40.6 	57.6 	62.4 	72.3 	71.1 	75.4 	83.1 	88.5 	72.6 	75.6 
M,BEDPL,PC,NL	50.2 	45.6 	41 	44.6 	49.1 	59.7 	56.5 	59.8 	60.9 	65.9 	56.3 	55.5 
M,BEDPL,PC,NO	36 	30 	30 	37 	37 	34 	40 	50 	63 	55 	43 	38 
M,BEDPL,PC,PL	37.6 	36.4 	33.5 	41.3 	35.1 	37.4 	43.9 	47.3 	51.8 	56.9 	45.2 	42.2 
M,BEDPL,PC,PT	41.5 	35.5 	31.6 	38.8 	44 	55.2 	57.4 	60.2 	65.9 	72.7 	61.8 	56.1 
M,BEDPL,PC,RO	32.2 	27.9 	25.7 	28.4 	26.5 	27.9 	32.9 	34.4 	43.3 	49.1 	35 	35 
M,BEDPL,PC,RS	36.8 	34.7 	35.9 	33.1 	60 	36.7 	44.4 	41.8 	45.9 	48.2 	41.7 	40.6 
M,BEDPL,PC,SE	40 	34 	31 	37 	34 	37 	40 	44 	61 	55 	45 	44 
M,BEDPL,PC,SI	34.15 	34.43 	32.19 	35.55 	33.11 	42.85 	47.14 	53.23 	62.66 	69.34 	52.71 	45.88 
M,BEDPL,PC,SK	30.51 	27.26 	27.83 	35.47 	27.1 	38.21 	33.66 	36.2 	41.94 	48.25 	35.65 	34.59 
M,BEDPL,PC,TR	35.97 	32.44 	33.09 	30.29 	26.83 	41.19 	52.04 	58 	: 	: 	: 	: 
M,BEDPL,PC,XK	19.1 	20.9 	22.6 	17.4 	13 	19.7 	22.2 	22.2 	26.8 	30.4 	23.4 	21.7 
M,BEDRM,PC,AL	19.5 	18.1 	14.5 	16.2 	18.4 	22.4 	28.7 	39.5 	52.9 	61.5 	52.7 	31.6 
M,BEDRM,PC,AT	28.6 	56.4 	80.35 	91.68 	52.07 	37.9 	38.4 	60.4 	74.5 	79.5 	53.3 	42.2 
M,BEDRM,PC,BE	59.51 	56.5 	44.17 	51.71 	54.22 	60.84 	61.6 u	64 	62.24 	61.28 	62.47 	60.76 u
M,BEDRM,PC,BG	37.6 	35.4 	41 	45.7 	: 	34.4 	32.1 	52.8 	68.6 	72.5 	43.9 	37 
M,BEDRM,PC,CH	47.7 	50 	47.9 	53.2 	50.9 	48.3 	58.2 	64.4 	65.4 	66 	63 	54.6 
M,BEDRM,PC,CY	53.1 	36.5 	39 	40 	50.3 	61.1 	68.9 	77 	78.7 	80 	84.1 	77.8 
M,BEDRM,PC,CZ	41 	41 	33 	39.2 	36.6 	45.1 	50.4 	50.7 	53.6 	57.5 	49.9 	59 
M,BEDRM,PC,DE	60.37 	54.1 	44.87 	51.72 	55.55 	57.76 	65.78 	64.88 	65.86 	64.24 	70.06 	66.53 
M,BEDRM,PC,DK	57 	44 	42 	47 	51 	58 	66 	68 	72 	77 	71 	64 
M,BEDRM,PC,EA20	49.6 	46.34 	42.94 	49.29 	48.98 	54.15 	59.84 	66.72 	66.03 	68.19 	60.74 	55.13 
M,BEDRM,PC,EE	50 	52 	38 	45 	40 	47 	54 	60 	68 	66 	52 	51 
M,BEDRM,PC,EL	15.5 	25.7 	13.5 e	16.2 e	19.8 e	33.6 e	52.3 e	71.6 e	79 e	82.1 e	69.7 e	39.6 e
M,BEDRM,PC,ES	65.17 	56.28 	57.07 	63.82 	63.75 	67.29 	70.75 	74.5 	75.84 	79.72 	77.66 	72.04 
M,BEDRM,PC,EU27_2020	48.69 	44.88 	41.61 	47.82 	: 	51.66 	57.15 	: 	64 	66.4 	: 	54.5 
M,BEDRM,PC,FI	52.3 	48.2 	46.5 	53.9 	51 	44.9 	53 	60.2 	62.6 	60.2 	56.5 	52.1 
M,BEDRM,PC,FR	57.4 	54.3 	51.1 	54.1 	55.8 	61.7 	64.4 	72.3 	68.9 	68.4 	70.1 	64.4 e
M,BEDRM,PC,HR	34.3 	30.8 	25.4 	34.2 	35.1 	48.8 	57 	72 	78.4 	83.2 	73.4 	54.6 
M,BEDRM,PC,HU	50.7 	47.2 	38.3 	44.5 	45 	50.5 	54.1 	54 	59.6 	65.9 	56.2 	56.4 
