freq,c_resid,unit,nace_r2,geo\TIME_PERIOD	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 	2025-04 	2025-05 	2025-06 	2025-07 	2025-08 	2025-09 	2025-10
M,TOTAL,NR,I551-I553,AL	311262 	240623 	230420 	226431 	294082 	475233 	671231 	1201253 	1839778 	2263355 	1189483 	573215 
M,TOTAL,NR,I551-I553,AT	5139618 	10777612 	13228025 	13744620 	10736324 	7350823 	7674188 	11795683 	15602893 	17906369 	10857675 	8330954 
M,TOTAL,NR,I551-I553,BE	2855253 	2942414 	2033592 	2404157 	2965521 	4139221 	4067692 u	4260108 	6218319 	6028513 	3794598 	3885328 u
M,TOTAL,NR,I551-I553,BG	944680 	1001743 	1135882 	1157980 	1123054 	1075363 	1532226 	3830969 	6095882 	6421976 	3157468 	1174590 
M,TOTAL,NR,I551-I553,CH	2641896 	4112998 	4569630 	: 	4591002 	3792919 	4433916 	5914849 	: 	: 	: 	: 
M,TOTAL,NR,I551-I553,CY	784246 	417530 	325400 	381100 	661549 	1279023 	1992850 	2251377 	2627725 	2953148 	2484732 	2382970 
M,TOTAL,NR,I551-I553,CZ	3480243 	3676913 	3301077 	3693997 	3552669 	4230373 	5281849 	5503742 	7837232 	8182553 	5197422 	4648602 
M,TOTAL,NR,I551-I553,DE	27380452 	26963485 	21630222 	22506392 	27785287 	36188918 	42446312 	45626897 	51641473 	54534001 	43599465 	40820945 
M,TOTAL,NR,I551-I553,DK	2131869 	1875530 	1497948 	1702279 	1992677 	3195999 	3825219 	4379755 	7290626 	6069015 	3523680 	3076311 
M,TOTAL,NR,I551-I553,EA20	124173091 	131279937 	120670532 	127735281 	145207843 	195183338 	237346655 	302603448 	403230914 	446924842 	277069845 	208454792 
M,TOTAL,NR,I551-I553,EE	448541 	515573 	368280 	406872 	395473 	465617 	551678 	705075 	931990 	820739 	525637 	537192 
M,TOTAL,NR,I551-I553,EL	2286095 	2233823 	1656673 e	1736159 e	2728327 e	7007060 e	15344134 e	23664485 e	31042269 e	33942944 e	23311959 e	11145425 e
M,TOTAL,NR,I551-I553,ES	26806814 	24979937 	23619948 	25264418 	30251402 	39809109 	47170360 	54175564 	67091411 	74367338 	53888369 	44751911 
M,TOTAL,NR,I551-I553,EU27_2020	144955880 	151307131 	139016696 	147894202 	165497633 	218566239 	267401460 	339474965 	460179479 	501082643 	308765094 	234795231 
M,TOTAL,NR,I551-I553,FI	1547522 	1881185 	1573904 	1808168 	1793715 	1467595 	1591883 	2312734 	3221698 	2355973 	1791405 	1690292 
M,TOTAL,NR,I551-I553,FR	19067811 e	21725463 e	20490211 e	22198333 e	23774050 e	35904037 	40427362 	47579872 	78519328 	91232100 	41254854 	29133603 e
M,TOTAL,NR,I551-I553,HR	988398 	880186 	650191 	707655 	1001810 	3285477 	5868629 	14338131 	24949182 	26698687 	11878893 	3534395 
M,TOTAL,NR,I551-I553,HU	2118193 	2113737 	1667596 	1725627 	1983630 	2413518 	2788850 	3199256 	4480940 	4897577 	2776497 	2734637 
M,TOTAL,NR,I551-I553,IE	2300605 e	2740229 e	1363239 e	1565952 e	2257395 e	2911468 e	4084228 e	5080198 e	5487583 u	6222404 u	3145897 u	3565381 u
M,TOTAL,NR,I551-I553,IT	17700164 	19709559 	19510118 	19876181 	22329886 	29763626 	38798137 	59036969 	79066124 	85229731 	52434818 	32578759 
M,TOTAL,NR,I551-I553,LI	11228 	14344 	16996 	17810 	16196 	11932 	15902 	19332 	26238 	29542 	22034 	15871 
M,TOTAL,NR,I551-I553,LT	561433 	581159 	601162 	684134 	762656 	616298 e	727097 e	842228 e	1187481 e	1064118 e	772257 e	645677 e
M,TOTAL,NR,I551-I553,LU	180789 	183596 	142375 	148750 	185403 	296678 	389303 	396406 	564590 	564854 	278757 	249490 
M,TOTAL,NR,I551-I553,LV	299534 	330365 	257618 	254371 	290764 	342098 	430005 	519452 	741946 	706105 	422332 	367358 
M,TOTAL,NR,I551-I553,ME	134573 	81421 	73867 	87842 	127677 	312141 	496065 	735673 	1040610 	1061386 	687017 	374223 
